Customer ID;Tenure Months;Location;Device Class;Games Product;Music Product;Education Product;Call Center;Video Product;Use MyApp;Payment Method;Monthly Purchase (Thou. IDR);Churn Label;Longitude;Latitude;CLTV (Predicted Thou. IDR)
0;2;Jakarta;Mid End;Yes;Yes;No;No;No;No;Digital Wallet;70,005;Yes;106,81667;-6,20000;4210,7
1;2;Jakarta;High End;No;No;No;No;No;No;Pulsa;91,91;Yes;106,81667;-6,20000;3511,3
2;8;Jakarta;High End;No;No;Yes;No;Yes;Yes;Pulsa;129,545;Yes;106,81667;-6,20000;6983,6
3;28;Jakarta;High End;No;No;Yes;Yes;Yes;Yes;Pulsa;136,24;Yes;106,81667;-6,20000;6503,9
4;49;Jakarta;High End;No;Yes;Yes;No;Yes;Yes;Debit;134,81;Yes;106,81667;-6,20000;6942
5;10;Jakarta;Mid End;No;No;Yes;Yes;No;No;Credit;71,76;Yes;106,81667;-6,20000;7702,5
6;1;Jakarta;Mid End;No;No;Yes;No;No;Yes;Pulsa;51,545;Yes;106,81667;-6,20000;7062,9
7;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;26,195;Yes;106,81667;-6,20000;6281,6
8;47;Jakarta;High End;No;Yes;No;No;Yes;Yes;Pulsa;129,155;Yes;106,81667;-6,20000;7525,7
9;1;Jakarta;Mid End;No;Yes;No;No;No;No;Pulsa;39,26;Yes;106,81667;-6,20000;3789,5
10;17;Jakarta;Mid End;No;No;No;No;Yes;Yes;Digital Wallet;84,11;Yes;106,81667;-6,20000;3928,6
11;5;Jakarta;High End;No;No;No;No;No;No;Pulsa;90,61;Yes;106,81667;-6,20000;3190,2
12;34;Jakarta;High End;No;Yes;Yes;No;Yes;Yes;Pulsa;138,255;Yes;106,81667;-6,20000;3823,3
13;11;Jakarta;High End;No;No;Yes;No;Yes;Yes;Debit;127,205;Yes;106,81667;-6,20000;7376,2
14;2;Jakarta;High End;No;No;No;No;Yes;No;Pulsa;104,845;Yes;106,81667;-6,20000;7261,8
15;15;Jakarta;High End;Yes;Yes;No;No;Yes;Yes;Credit;128,83;Yes;106,81667;-6,20000;3855,8
16;8;Jakarta;High End;No;Yes;No;No;No;No;Credit;104,845;Yes;106,81667;-6,20000;6892,6
17;18;Jakarta;High End;No;No;No;No;Yes;Yes;Pulsa;124,085;Yes;106,81667;-6,20000;4132,7
18;9;Jakarta;High End;No;No;No;No;Yes;Yes;Pulsa;122,72;Yes;106,81667;-6,20000;7242,3
19;1;Jakarta;High End;No;No;No;No;Yes;No;Pulsa;103,155;Yes;106,81667;-6,20000;3227,9
20;7;Jakarta;High End;No;No;Yes;No;No;No;Debit;97,695;Yes;106,81667;-6,20000;4494,1
21;12;Jakarta;High End;Yes;No;No;No;No;No;Pulsa;102,635;Yes;106,81667;-6,20000;7547,8
22;5;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;27,365;Yes;106,81667;-6,20000;3385,2
23;25;Jakarta;High End;No;Yes;Yes;No;Yes;Yes;Pulsa;128,05;Yes;106,81667;-6,20000;6938,1
24;68;Jakarta;High End;No;Yes;Yes;Yes;Yes;Yes;Debit;143;Yes;106,81667;-6,20000;6544,2
25;55;Jakarta;High End;Yes;Yes;No;No;Yes;No;Pulsa;125,775;Yes;106,81667;-6,20000;6700,2
26;37;Jakarta;High End;No;No;No;No;No;No;Pulsa;99,45;Yes;106,81667;-6,20000;3630,9
